factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factiry_location_in_city,factory_location_in_town,year_of_establishment
Fashion Fx Ltd.,Knit,5.0,175.0,78,1000000,"T-Shirts ,Polo Shirts","Harbaid, Pubail, Gazipur, Gazipur Sadar",Gazipur,Gazipur Sadar,2008
Fashion Gears Ltd.,Knit,5.0,1200.0,650,216000,"Jackets ,Pants ,T-Shirts","Jharna Complex, Soydana, Malekerbari,National University, Gazipur, Board Bazar",Gazipur,Board Bazar,2000
Fashion Globe Denim Wear Ltd.,Woven,1.0,600.0,562,1015166,"Shirt ,Pant ,Jacket ,Trouser","Plot # C-160 & B- 178, Bscic Industrial Area, Tongi, Gazipur, Gazipur",Gazipur,Gazipur,2023
Fashion House (Southern) Ltd.,Woven,5.0,1150.0,450,300000,"Shirts ,Blouses","Bara Rangamatia, Ashulia, Dhaka, Savar",Dhaka,Savar,1989
Fashion Innovation Ltd.,Woven,5.0,665.0,272,105000,"Shirts ,Trousers ,T-Shirts ,Pants","Shah Khartail Complex, Khartail, Shataish, Gazipur, Tongi",Gazipur,Tongi,2003
Fashion Jeans Ltd.,Woven,5.0,650.0,190,125000,"Shirts ,Trousers ,Pants","149/150, Azampur, Shah Kabir Mazar Road, Dhaka, Uttara",Dhaka,Uttara,2011
Fashion Knit Garments Ltd.,Knit,5.0,650.0,317,300000,"Children Wears ,Ladies Tops","Holding # 4 (2nd Floor), Cornapara, Dhaka, Savar",Dhaka,Savar,1998
Fashion Linkers Ltd.,Woven,5.0,400.0,220,70000,"Jackets ,Trousers ,Pants","31, DIT Road (4th & 5th Fl), Malibagh Chowdhury Para, Dhaka, Malibagh",Dhaka,Malibagh,1994
Fashion Makers Ltd.,Knit,5.0,350.0,150,250000,"T-Shirts ,Polo Shirts ,Sweat Shirts","Gargaria Master Bari, Kewa, Gazipur, Sreepur",Gazipur,Sreepur,1993
Fashion Network Ltd.,Knit,5.0,500.0,300,150000,"Shirts ,Ladies Dress ,Children Wears ,Jackets","6, Shingbari Road, Boro Dewra, Gazipur, Tongi",Gazipur,Tongi,1993
Fashion of Wales Ltd.,Knit,5.0,450.0,250,120000,"Shirts ,Pants ,T-Shirts ,Panties","Plot # C/28/29 (3rd - 5th Floor), BSCIC I/A, Sagarika Road, Chittagong","Plot # C/28/29 (3rd - 5th Floor), BSCIC I/A, Sagarika Road",Chittagong,2009
Fashion Park Int'l Ltd.,Knit,5.0,330.0,160,70000,"Fleece Jackets ,T-Shirts ,Trousers","Hajee Faiz Mansion, 191/192, Lalchand Road, Chittagong","Hajee Faiz Mansion, 191/192, Lalchand Road",Chittagong,1998
Fashion Plus Ltd.,Woven,5.0,240.0,105,40000,"Shirta ,Jackets ,Pants","151/8, Green Road, Dhaka, Dhanmondi",Dhaka,Dhanmondi,2005
Fashion Point Ltd,Knit,5.0,645.0,306,468000,"T-Shirts ,Polo Shirts ,Sweat Shirts ,Pants","Plot # S-41-42, BSCIC Industrial Estate, Konabari, Gazipur, Gazipur",Gazipur,Gazipur,2000
Fashion Products Ltd.,Knit,5.0,575.0,255,120000,"Children Wears ,Active Wears ,Jackets ,Trousre","79, Agrabad C/A, Jahan Building No. 3, Chittagong","79, Agrabad C/A, Jahan Building No. 3",Chittagong,1994
Fashion Skirt & Trousers Ltd.,Woven,5.0,488.0,279,35100,"Trousers ,Skirts","Choydana, Gazipur, K.B. Bazar",Gazipur,K.B. Bazar,1996
Fashion Step Ltd.,Woven,5.0,1660.0,1250,468000,"Shirts ,Pants ,Boys Shirt ,Blouse","16/3, Shataish, Tilagati Road, Gazipur, Gazipur",Gazipur,Gazipur,2013
Fashion Store Ltd.,Woven,5.0,250.0,130,45000,"Wind Breakers ,Jogging Suits ,Long Pants","81, Kalmessar, Jalal Shopping Complex (3rd-5th Floor), Gazipur, Board Bazar",Gazipur,Board Bazar,2007
Fashion Summit Ltd.,Knit Composite,1.0,365.0,349,350000,"T-Shirt ,Polo Shirt ,Pullover ,Jacket","Plot # S-18, BSCIC I/E, Konabari, Gazipur, Gazipur",Gazipur,Gazipur,2019
Fashion Toys Ltd.,Woven,5.0,450.0,300,40000,"Trousers ,Jackets ,Bra","39, Imandipur, Dhaka, Savar",Dhaka,Savar,1994
Fashion Trade,Woven,1.0,1.0,81,184000,"Shirt ,Pant","589/1, Shah Kabir Mazar Road, Uttarkhan, Dhaka, Dhaka",Dhaka,Dhaka,2022
Fashion Trousers Ltd.,Woven,5.0,757.0,371,32400,"Trousers ,Shorts","Chaydana, Gazipur, Gazipur",Gazipur,Gazipur,1989
Fashion Watch Ltd.,Woven,5.0,350.0,250,0,"Jackets ,Trousers","1293, D.T Road, Dhanialaoara, Chittagong","1293, D.T Road, Dhanialaoara",Chittagong,2003
Fashion Zone Ltd.,Woven,5.0,320.0,133,72000,Shirts,"22, Bijoy Nagar (3rd floor), Dhaka, Dhaka",Dhaka,Dhaka,1992
Fashion-1,Woven,1.0,1.0,149,1000000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Holding # 40/4, Shataish, Tongi, Gazipur, Gazipur",Gazipur,Gazipur,2022
Fashion.Com Limited,Woven,5.0,450.0,350,48000,"Jackets ,Pants ,Skirts","Durgapur, Ashulia, Dhaka, Savar",Dhaka,Savar,2012
Fashions Designs Ltd.,Knit,5.0,300.0,145,50000,"T-Shirts ,Polo Shirts","Rahmat Tower, Chandona Chowrasta, Gazipur, Joydevpur",Gazipur,Joydevpur,2011
Fashions Mart Ltd.,Woven,5.0,190.0,112,36000,"Blouses ,Jackets ,Trousers","Plot # 1/1, 1/3, Block - K, Section # 1, Dhaka, Mirpur",Dhaka,Mirpur,2001
Fashions Suits And Trousers Ltd.,Woven,5.0,614.0,291,22400,"Blazers ,Trousers ,Suits ,Shorts","Chandona, Gazipur, Gazipur",Gazipur,Gazipur,1997
Fashions Support Ltd.,Knit,5.0,550.0,401,500000,"T-Shirts ,Pants","Baniarchala, Bhabanipur, Gazipur, Gazipur Sadar",Gazipur,Gazipur Sadar,2013
Fashrobe Garments Ltd.,Woven,5.0,499.0,193,120000,"Shirts ,Ladies Blouses ,Children Wears","Malibag Super Market (2nd floor), 468 DIT Road, Dhaka, Malibagh",Dhaka,Malibagh,1985
Fast Jacquard Industries Ltd.,Sweater,5.0,200.0,100,65000,Sweater,"Bashon Sharak, Gazipur, Vogra",Gazipur,Vogra,2016
Fatullah Apparels,Knit,5.0,200.0,106,200000,"T-Shirts ,Polo Shirts","Post Office Road, Narayanganj, Fatullah",Narayanganj,Fatullah,2012
Fatullah Dyeing & Calendering Mills Ltd.,Knit,5.0,392.0,195,166667,"Kids Items ,Trousers ,T-Shirts ,Polo Shirts","Post Office Road, Narayanganj, Fatullah",Narayanganj,Fatullah,1995
Fatullah Fabrics Ltd.,Knit,1.0,298.0,258,182000,"T-Shirt ,Polo Shirt","Post Office Road, Fatullah, Narayangonj, Narayangonj",Narayangonj,Narayangonj,2022
Favourite Garments Ltd.,Woven,5.0,417.0,196,72000,"Ladies Blouses ,Infants Wears ,Skirts ,Dresses","Kalma # 1, Dhaka, Savar",Dhaka,Savar,1985
Favourite Knit Wears Ltd.,Knit,5.0,340.0,134,156000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Barabo, Tarabo, Narayanganj, Rupganj",Narayanganj,Rupganj,2014
Fawn Wear Ltd.,Sweater,5.0,350.0,300,30000,"Sweaters ,Pullovers ,Cardigans","39, Kuturia, Dhaka, Savar",Dhaka,Savar,2003
Fay-Max Sweater Composite Ltd.,Sweater,5.0,145.0,250,130000,Sweater,"Nowpara, Narsingdi, Madhabdi",Narsingdi,Madhabdi,2015
FB Excellence Fashion Co. Ltd.,Woven,5.0,230.0,288,200000,"Shirts ,Pants","Lucky Plaza, Shimultala, Ashulia, Dhaka, Savar",Dhaka,Savar,2010
FCI (BD) Limited,Woven,5.0,2600.0,1500,50000,"Blouse ,Blazers ,Skirts ,Trousers","Plot # 36-39, DEPZ, Ganakbari, Savar, Dhaka, Dhaka",Dhaka,Dhaka,1998
Federal Garments Ltd.,Woven,5.0,300.0,200,40000,"Pant ,Ladies Shirts ,Short/Long Pants ,Trousers","Haji Abdus Samad Super Market (4th Fl), 123/1/A, South Jatrabari, Dhaka, Dhaka",Dhaka,Dhaka,1992
Feiyue Fashions Ltd.,Knit,5.0,390.0,180,100000,"T-Shirts ,Polo Shirts ,Ladies Wear","S.A. Plot # 47, Technagapara, Gazipur, Chandana",Gazipur,Chandana,2007
Fergasam (Bangladesh) Ltd.,Woven,5.0,400.0,430,0,"Shirts ,Jackets ,Pants","SFB, SF-3 (1st - 3rd floor), Chittagong, CEPZ",Chittagong,CEPZ,2008
Feroja Apparels,Knit,5.0,320.0,135,0,"Trousers ,T-Shirts ,Polo Shirts ,Boxers","177/1, 178, South Bishil, Section # 1, Dhaka, Mirpur",Dhaka,Mirpur,2007
Feroza Garments Ltd.,Woven,5.0,693.0,324,80000,"Shirts ,Pants ,Trousers ,Shorts","Sultan Mansion, 3, Sujat Nagar, Section # 12, Dhaka, Mirpur",Dhaka,Mirpur,1993
FGS Denim Wear Ltd.,,,2100.0,0,552600,"Jackets ,Denim Pants ,Denim Shirts","Katgora Bazar, Zirabo, Dhaka, B. Baria",Dhaka,B. Baria,2020
Fiat Fashion Ltd.,,,,0,504000,"T-Shirts ,Polo Shirts ,Tank Tops","878-879, Sharifpur National University, Gazipur","878-879, Sharifpur National University",Gazipur,2016
Figo Apparels Ltd.,Knit,5.0,450.0,216,270000,"Panties ,Bra","Plot # B-62, 63 & S-21 P (1st Floor), BSCIC I/E, Chittagong, Kalurghat",Chittagong,Kalurghat,2002
Fija Fashions Apparels Ltd.,Woven,5.0,300.0,243,60000,"Shirts ,Jackets ,Pants ,Trousers","147, Chand Meah Lane, Chittagong, Khatungonj",Chittagong,Khatungonj,1992
Fin Fashion Ltd.,Woven,5.0,600.0,230,150000,"Shirts ,Ladies Blouses ,Polar Fleece Shirts ,Pajama Sets","10/A, Bondmala Road, Haji Market, Dutta Para, Gazipur, Tongi",Gazipur,Tongi,2006
Fin-Bangla Apparels Ltd.,Woven,5.0,1000.0,600,260000,"Shirts ,Pants","29,Gareb-E-Newaz Avenue, Sector-11,Uttara,Dhaka-1230, Gazipur, B. Baria",Gazipur,B. Baria,2016
Fine Crafts Ltd.,Woven,5.0,180.0,60,24000,"Shirts ,Blouses ,Dresses","24/Ka, Saheed Minar Road (4th Floor), Dhaka, Kallyanpur",Dhaka,Kallyanpur,1994
Finesse Apparels Ltd.,Knit,5.0,100.0,200,40900000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Plot # 103/104, Sector # 3, Chittagong, KEPZ",Chittagong,KEPZ,2016
Finnkoli Apparels Ltd.,Knit,5.0,1972.0,570,624000,"T-Shirts ,Polo Shirts","Plot # 18-20, Road # 11, Shyampur I/A, Dhaka, Kadamtoli",Dhaka,Kadamtoli,2011
First Wear Ltd.,Woven,5.0,500.0,200,96000,"Jackets ,Long Pants ,Jogging Suits ,Shorts","68/Y, Sagarika Road, Chittagong, Pahartali",Chittagong,Pahartali,2001
Firststep Apparels (Pvt.) Ltd.,Knit,5.0,65.0,50,96000,"T-Shirts ,Poo Shirts","House # 77, Road # 1, Block # A, Word # 7, Ahalia, Dhaka, Turag",Dhaka,Turag,2015
Fit Well Sweater (Pvt.) Ltd.,Sweater,5.0,150.0,140,30000,Sweaters,"Nazma Ahmed Complex (4th Fl), 224/N, Dighirpar, Chittagong, Dewanhat",Chittagong,Dewanhat,2010
Five Star Fashions Ltd.,Woven,5.0,290.0,130,50000,"Jackets ,Overalls ,Trousers ,Shorts","Sunrise Shopping Complex, 11, C.D.A Market, Chittagong, Pahartali",Chittagong,Pahartali,1994
Flamingo Fashions Ltd.,Knit,5.0,2066.0,552,1250000,"Jackets ,Tank Top ,T-Shirts ,Polo Shirts","Sardagonj, Gazipur, Kashimpur",Gazipur,Kashimpur,2003
Flamingo Knit Wear Ltd.,Woven,5.0,263.0,110,33000,"Jackets ,Pants ,Overalls","140, Deoyan Hat, 2 No. Rel Gate, Chittagong, Double Mooring",Chittagong,Double Mooring,1992
Flash Apparels Ltd.,Woven,5.0,0.0,0,0,"Jackets ,Jogging Suit","118/2 No Kathaldia, Gazipur, Tongi",Gazipur,Tongi,1993
Flaxen Dress Maker Ltd.,Woven,1.0,2700.0,1886,125000,"T-Shirts ,Baby Item ,Jacket ,Pant","Meghduby, Ward # 40, Gazipur City Corporation, Gazipur, Gazipur",Gazipur,Gazipur,2009
Florence Fabrics Ltd.,Woven,5.0,798.0,320,150000,"Shirts ,Ladies Blouses ,Boys Shirts ,Babies Shirts","Rahman Bhaban (3rd Floor), 100, Mohakhali C/A, Dhaka, B. Baria",Dhaka,B. Baria,1995
Florence Fashions Ltd.,Woven,5.0,650.0,400,160000,"Shirts ,Blouses","284, Ibrahimpur (3rd, 4th & 5th Floor), Dhaka, Cantonment",Dhaka,Cantonment,1999
Florence Shirts Ltd.,Woven,5.0,200.0,600,240000,"Shirts ,Pants","40/3, Anowar Jong Road, Block-D, Chara Bagh, Ashulia, Dhaka, Savar",Dhaka,Savar,2016
Florescent Apparels Ltd.,Knit,5.0,480.0,200,200000,"T-Shirts ,Polo Shirts ,Tank Top ,Sweat Shirts","81, Barabagh, Section # 2, Dhaka, Mirpur",Dhaka,Mirpur,1991
Floret (Pvt.) Ltd.,Woven,5.0,350.0,160,60000,"Girl's Wears ,Childern Wears","Kunia, Targach, Gazipur, National University",Gazipur,National University,1992
Floret Fashion Wears (Pvt) Ltd.,Woven,5.0,325.0,140,50000,"Girl's Wears ,Children Wears","Kunia, Targach, Gazipur, National University",Gazipur,National University,1997
FnF Trend Fashion Ltd.,Woven,1.0,2000.0,890,450000,"Chion Pant ,Denim Pant ,Jogger","H-2282/5, Nobi Ullha Mir Mansion, Hazi Liakwat Mir Road, Jamgora, Ashulia, Dhaka, Dhaka",Dhaka,Dhaka,2017
Fontina Fashions Ltd.,Woven,5.0,439.0,140,85000,"Shirts ,Blouses ,Dresses","97, DIT Road, Dhaka, Rampura",Dhaka,Rampura,2001
Formosa Healthcare Inds. Ltd.,Woven,5.0,150.0,170,7080000,"Shirts ,Pants","Baniar Chala, Vhabanipur, Gazipur, Gazipur Sadar",Gazipur,Gazipur Sadar,2014
Fortis Garments Ltd.,Woven,5.0,350.0,188,1200000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Holding # 100/1 (1st-6th floor), Block-B, Chandura, Shafipur, Gazipur, Gazipur",Gazipur,Gazipur,2010
Fortune Apparels Ltd.,Knit,5.0,1050.0,518,180000,"Shirts ,Jackets ,T-Shirts ,Pants","135/142, Nasirabad I/A, Chittagong","135/142, Nasirabad I/A,",Chittagong,1999
Fortune Fashion Ltd.,Knit,5.0,500.0,302,90000,"Shirts ,Pajama Sets ,Swim Suits","Jahan Building No. 2,, 28 Agrabad C/A, Chittagong, Agrabad",Chittagong,Agrabad,1993
Fountain Garments Manufacturing Ltd.,Woven,5.0,4000.0,2400,1100000,"Shirts ,Blouses ,Skirts","61-62, Baipail, Dhaka, Dhaka",Dhaka,Dhaka,1998
Four Brothers Fashion,Woven,5.0,1000.0,800,420000,"Shirts ,Dress ,Jackets ,Pants","66-68, Hazi Dil Mohammadpur Avenue, Main Road, Dhaka Uddyan, Dhaka, Mohammadpur",Dhaka,Mohammadpur,1994
Four Design (Pvt.) Ltd.,Knit,5.0,750.0,101,20000,"T-Shirts ,Polo Shirts","Plot # B-359-360,, BSCIC I/A, Narayanganj, Fatullah",Narayanganj,Fatullah,2014
Four H Apparels Ltd.,Knit,5.0,625.0,433,1000000,"T-Shirts ,Polo Shirts","295, Jalalabad, Chittagong, Hathazari Road",Chittagong,Hathazari Road,2012
Four H Fashions Ltd.,Knit,5.0,750.0,463,720000,"Sleep Wears ,Underwears ,Panties","778, DT Road, Ashkarabad, Chittagong, Double Mooring",Chittagong,Double Mooring,2004
Four H Intimates Ltd.,Knit,5.0,840.0,369,144000,"T-Shirts ,Sleep Wears ,Thermal Sets ,Shelf Cami","1154, Dt Road, West Dhanialapara, Chittagong","1154, Dt Road, West Dhanialapara",Chittagong,2006
Four H Knittex Ltd.,Knit,5.0,700.0,272,1080000,"T-Shirts ,Panties ,Underwears ,Bra","257/A, M.Q. Plaza, Fakirhat Road, Chittagong","257/A, M.Q. Plaza, Fakirhat Road",Chittagong,2006
Four H Lingerie Ltd.,Knit,5.0,1600.0,730,1800000,"Underwears ,Sports Bra ,Panties ,Briefs","BRTC Bus Dipo, Baluchara, Chittagong","BRTC Bus Dipo, Baluchara",Chittagong,2006
Four Knit Wear Ltd.,Knit,5.0,460.0,195,100000,"T-Shirts ,Polo Shirts","Pathantuli, Narayanganj, Godnail",Narayanganj,Godnail,2015
Four R Apparels,Woven,1.0,200.0,164,0,"Shirt ,Pant","1028/A, Shahor, Khilgaon, Dhaka, Dhaka",Dhaka,Dhaka,2022
Four Wings Limited,Woven,5.0,635.0,572,70000,"Jackets ,Trousers ,Pants ,Skirts","Plot # M/2, Main Road # 1, Section # 7, Dhaka, Dhaka",Dhaka,Dhaka,1998
Foysal Tex Ltd.,Woven,1.0,0.0,0,0,"Shirt ,Pant ,T-Shirt ,Polo Shirt","553/2, Sharifpur, Gacha, National University, Gazipur, Gazipur",Gazipur,Gazipur,2022
Frank Apparel Limited,Woven,5.0,1057.0,778,250000,"Denim Pants ,Ladies Dress ,Child Dress","Upahar Complex, CDA Plot # 10, Agrabad C/A, Chittagong, Agrabad",Chittagong,Agrabad,1995
Frank Garments (Pvt.) Ltd.,Woven,5.0,764.0,465,85000,"Dress Pants ,Ladies Dress ,Putter Pants","105, agrabad C/A, Hossin Chamber (5th floor), Chittagong, Agrabad",Chittagong,Agrabad,1985
Fresh Fashion Wear Ltd.,Woven,5.0,670.0,380,130000,"Men's Shirts ,Ladies Shirt ,Ladies Blouse","638, Sharifpur, National University, Gazipur, Gazipur",Gazipur,Gazipur,2007
Friends and Friends Apparels (Pvt) Ltd.,Woven,5.0,998.0,530,132000,"Jackets ,Trousers ,Jogging Suits","Mehedi Supper Market (2nd Floor), 754/827, Mehedibagh, Chittagong, Kotawali",Chittagong,Kotawali,1992
Friends Fashion,Woven,5.0,450.0,213,80000,"Shirts ,Dresses ,Trousers","42/A, Zigatola, Salek Garden (2nd Floor), Dhaka, Dhanmondi",Dhaka,Dhanmondi,1992
Friends Knit Wear & Accessories Ltd.,Knit,5.0,495.0,299,321000,"T-Shirts ,Polo Shirts","Plot # B-6 (Part), B-7 (Part), BSCIC Industrial Estate, Gazipur, Gazipur",Gazipur,Gazipur,2014
Friends Knittings Ltd.,Woven,5.0,200.0,150,20000,"Jackets ,Pants ,Shorts Pants ,Swim Trunks","66/3/A East Hazipara, D.I.T Road, Dhaka, Rampura",Dhaka,Rampura,1991
Friends Stylewear Ltd.,Knit,5.0,1200.0,967,300000,"Blouses ,Jackets ,T-Shirts ,Polo Shirts","411, Mazukhan, Gazipur, Pubail",Gazipur,Pubail,2007
Friends World Composite Inds. Ltd.,Knit,5.0,205.0,100,58500,"Shirts ,Shorts ,T-Shirts ,Tank Tops","Balitha, Bathuli,, PO-Shablishar, Dhaka, Dhamrai",Dhaka,Dhamrai,2003
FRM Fashion House Ltd.,Knit,5.0,519.0,570,250000,"Jackets ,T-Shirts ,Polo Shirts ,Vests","226, Singair Road, Hemayetpur, Dhaka, Savar",Dhaka,Savar,1998
Fuji Knitwears Ltd.,Sweater,5.0,1152.0,550,120000,"Sweaters ,Ladies Sweaters","8, Rajuk Plot, B.B. Road, Narayanganj, Chashara",Narayanganj,Chashara,1999
Fullcharm Fashion Knitters Ltd.(U-2),Sweater,5.0,600.0,350,90000,Sweaters,"31/1, Hossain Market, Dattapara, Gazipur, Tongi",Gazipur,Tongi,2001
Fullcharm Fashion Knitters Ltd.,Sweater,5.0,600.0,350,90000,Sweaters,"Plot # 1175 & 1179, Bhasan Sarak, Vogra, National University, Gazipur","Plot # 1175 & 1179, Bhasan Sarak, Vogra, National University",Gazipur,1999
Fullcharm Fashion Knitters Ltd.(U-2),Sweater,5.0,600.0,350,90000,Sweaters,"31/1, Hossain Market, Dattapara, Gazipur, Tongi",Gazipur,Tongi,2001
Fulpur Knit & Garments Ltd.,Knit,5.0,125.0,75,210000,"T-Shirts ,Polo Shirts","2/1, Fakir Market, Baro Dewra, Gazipur, Tongi",Gazipur,Tongi,2006
Fun Factory Ltd.,Knit,5.0,450.0,600,375000,"Pants ,Trousers ,T-Shirts ,Polo Shirts","Haji Rafiz Uddin Tower, Ashulia EPZ Road, Dhaka, Savar",Dhaka,Savar,2011
Future Apparels & Accessories,Knit,1.0,230.0,180,135000,"T-Shirt ,Polo shirt","Plot # 11, Road # 01, Section # 7, Mirpur, Dhaka, Dhaka",Dhaka,Dhaka,2020
Future Apparels BD Ltd.,Knit,5.0,270.0,157,1000000,"T-Shirts ,Polo Shirts","East Anayetpur, Baganbari Road, Gazipur, Kashimpur",Gazipur,Kashimpur,2015
Future Clothing Ltd.,Knit,5.0,300.0,75,80000,"Shirts ,Knit Items","75, Ibrahimpur, Dhaka, Cantonment",Dhaka,Cantonment,2000
Future-Knit Composite Ltd.,Woven,1.0,300.0,250,5760000,"T-Shirt ,Polo Shirt ,Jacket ,Sweat Shirt","398/1, Ambag, Paschimpara, Konabari, Gazipur, Gazipur",Gazipur,Gazipur,2020
Fyne Sweaters Ltd.,Sweater,5.0,1300.0,490,100000,"Sweaters ,Pullovers ,Poncho ,Cardigans","Dager Chala, National University, Gazipur, Joydevpur",Gazipur,Joydevpur,2005
G.A.B Ltd.,Knit,5.0,2100.0,850,2000000,T-Shorts,"Palashbari, Ashulia, Dhaka, Savar",Dhaka,Savar,1997
G.R. Apparels Ltd.,Knit,5.0,300.0,160,800000,"Infants Wears ,Knit Items","1293, Dhaka Trank Road, Chittagong, Dhaniala Para",Chittagong,Dhaniala Para,1994
Galaxy Stitch Ltd.,Knit,5.0,2340.0,100,800800,"T-Shirts ,Polo Shirts","Plot # A-102, BCSIC I/A, Gazipur, Tongi",Gazipur,Tongi,2015
Galaxy Sweaters & Yarn Dy. Ltd.,Sweater,5.0,310.0,462,130000,Sweaters,"Vadam, Nishat Nagar, Gazipur, Tongi",Gazipur,Tongi,2008
Gallant Fashions Ltd.,Knit,5.0,498.0,255,172000,"Shirts ,Shorts ,T-Shirts","37, Nasirabad I/A, Chittagong","37, Nasirabad I/A,",Chittagong,1998
Galpex Ltd.,Woven,5.0,341.0,180,80000,"Jackets ,Ladies Pants ,Pants","Momota Shapping Complex (5th & 6th Fl), 24, North Kafrul, Dhaka, Cantonment",Dhaka,Cantonment,1992
Gardenia Wears Ltd.,Woven,5.0,0.0,0,0,"Shirt ,Pant","310/668, Sitpara, Bormi, Gazipur, Sreepur",Gazipur,Sreepur,2016
Garib & Garib Co. Ltd.,Sweater,5.0,1600.0,1440,96000,"Pullovers ,Cardigans","Vogra, Gazipur, Joydevpur",Gazipur,Joydevpur,1994
Garib & Garib Co. Ltd. (Unit-2),Sweater,5.0,2400.0,1662,144000,"Pullovers ,Cardigans","Vogra, Gazipur, Joydevpur",Gazipur,Joydevpur,2001
Garments Export Village Ltd.,Woven,5.0,3000.0,1700,500000,"Shirts ,Pants ,Jacquard Sweater","Maa Tower, 128, KBM Road, Gazipur, Tongi",Gazipur,Tongi,2005
Garments Home (Pvt) Ltd.,Knit,5.0,210.0,84,60000,"Kids Items ,Jogging Suits ,Shorts","2341/2615, Bancha Mear Road, West Nasirabad, Chittagong, Pahartali",Chittagong,Pahartali,2007
Garments Manufacturing And Assembling Ltd.,Knit,1.0,522.0,267,104000,"Sports Wear ,Jersey ,T-Shirt ,Polo Shirt","43, Rajabari, Nishat Nagor, Turag, Dhaka, Dhaka",Dhaka,Dhaka,2019
Garments Park BD.Ltd.,Knit,1.0,490.0,235,600000,"T-Shirt ,Polo Shirt","BE/115/03, Banikpara, Dataram Road, Chowdhury Hat, Hathazari, Chittagong, Chittagong",Chittagong,Chittagong,2022
Garmex Limited,Woven,5.0,410.0,134,48000,"Shirts ,Blouses ,Skirts","50, Airport Road, Tejkunipara, Dhaka, Tejgaon",Dhaka,Tejgaon,1985
Gartex Garments Ltd.,Knit,5.0,960.0,696,12500,"Jacket ,Pant","1731, Mostafa Hakim College Road, Chittagong, Chittagong",Chittagong,Chittagong,2007
Gateway Fashion Ltd.,Knit,5.0,173.0,0,90000,"T-Shirts ,Polo Shirts","Helal Market, 168/1, Uttar Khan, Dhaka, Uttara",Dhaka,Uttara,2009
Gatsby Trade International,Woven,1.0,1.0,200,500000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Gorai Hatuvanga Road, Gorai, Mirjapur, Tangail, Tangail",Tangail,Tangail,2023
Gaya Product Development Company (BD) Ltd.,Woven,1.0,475.0,1122,140000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Plot # 8b, Korean EPZ, Karnafully, Chittagong, Chittagong",Chittagong,Chittagong,2022
Gazy Knitwear,Knit,5.0,120.0,70,10000000,"T-Shirts ,Polo Shirts","Plot # 4, D.N. Road, Shampur, Dhaka, Kadamtoli",Dhaka,Kadamtoli,2016
GDM Wear Ltd.,Knit,5.0,200.0,105,60000,"Shirts ,Pants ,T-Shirts ,Sweater","House # 4, Block # B, Ward # 4, Trimohoni Main Road, Daserkandi, Dhaka, Khilgaon",Dhaka,Khilgaon,2014
Geebee Garments Inds. Ltd.,Knit,5.0,317.0,177,50000,"Shirts ,Pants ,T-Shirts ,Fleece Jackets","SFB # 3 (1st & 2nd Floor), DEPZ, Ganakbari, Dhaka, Savar",Dhaka,Savar,2006
Gemini Fashions (Pvt) Ltd.,Knit,5.0,300.0,150,120000,"Pants ,Kids Wears ,Under Wears ,Skirts","295, Jalalabad, Hathazari Road, Chittagong, Baizid",Chittagong,Baizid,2006
Gemini Garments Ltd.,Woven,5.0,757.0,354,150000,"Shirts ,Jackets ,Pants","31, Mohakhali C/A, Dhaka, Mohakhali",Dhaka,Mohakhali,1985
Gemtex Limited,Woven,5.0,1100.0,650,100000,"Trousers ,Shorts ,Skirts ,Pants","Sharifpur (Maleker Bari), National University, Gazipur, Gazipur Sadar",Gazipur,Gazipur Sadar,2008
General Garments Ltd.,Woven,5.0,275.0,104,72000,"Shirts ,Wind Breakers ,Jogging Suits","76, 76/1, First Colony, Mazar Road, Gabtoli, Dhaka, Mirpur",Dhaka,Mirpur,1985
Generation Next Fashions Ltd.,Knit,5.0,2500.0,952,1200000,"T-Shirts ,Polo Shirts ,Tank Tops","Dhonaid, Earpur, Dhaka, Savar",Dhaka,Savar,2009
Genesis Denim Ltd.,woven,1.0,,622,258000,"Mens' Womens Long /short Pants ,Shorts ,Kids Wear","Plot # 228/1, (Ground & 1st Floor), Tin Sarak,, Luxmipura, Gazipur","Plot # 228/1, (Ground & 1st Floor), Tin Sarak,, Luxmipura,",Gazipur,2017
Genesis Fashion Ltd.,woven,1.0,,1278,454166,"Mens' Womens Long Pants ,Womens Pants ,Shorts ,Kids Wears","126/1, Kadda Nandun, Kadda Bazar, Gazipur Sadar, Gazipur","126/1, Kadda Nandun, Kadda Bazar, Gazipur Sadar",Gazipur,1993
Genius Fashions Ltd.,Knit,5.0,350.0,135,300000,"Knit Items ,Trousers","Nabinagar Kaliakoir Road, South Panishail, Gazipur, Zirani",Gazipur,Zirani,1998
GH Haewae Co. Ltd.,Knit,5.0,2450.0,1914,300000,"T-Shirts ,Outerwears ,Pants ,Top & Bottom","Plot # 19 - 24, Sector # 8, Chittagong, CEPZ",Chittagong,CEPZ,2004
