factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factiry_location_in_city,factory_location_in_town,year_of_establishment
Global Apparels Ltd.,Woven,5.0,740.0,368,120000,"Shirts ,Jackets ,Trousers","49, NP Kalurghat Heavy Industrial Area, Chittagong","49, NP Kalurghat Heavy Industrial Area,",Chittagong,1993
Global Fashion Garments Ltd.,Woven,5.0,758.0,327,120000,"Tops ,Bottoms","89, Berulia Road, Tati Savar, Dhaka, Savar",Dhaka,Savar,1985
Global Fit (Bangladesh) Limited,Woven,1.0,3.0,1000,400000,"Jacket ,Pants ,T-Shirt ,Cort","Holding # 868/1, Block # A, Jangaliapara, Vawal, Mirzapur, Dhaka, Dhaka",Dhaka,Dhaka,2022
Global Garments Ltd.,Woven,5.0,1400.0,550,180000,"Shirts ,Swim Wears ,Shorts","11, Kalurghat, H/Industrial Area, Chittagong","11, Kalurghat, H/Industrial Area",Chittagong,1983
Global Knittwear Ltd.,Sweater,5.0,650.0,1000,300000,"Sweaters ,Pullovers ,Cardigans","3/4-A, Darail, Shataish, Gazipur, Gazipur",Gazipur,Gazipur,2021
Global Merchants Ltd.,Sweater,1.0,297.0,2290,17000,"Ladies Cardigans ,Pullovers ,Jersey","Baimail, Konabari, Gazipur, Gazipur",Gazipur,Gazipur,2020
Global Nassa Wear Ltd.,Woven,5.0,1700.0,850,300000,"Shirts ,Pants ,Trousers ,Shorts","4, Taybpur, Nischintopur, Zirabo, Ashulia, Dhaka, Savar",Dhaka,Savar,2006
Global Outerwear Ltd.,Woven,5.0,2174.0,937,450000,"Shirts ,Jackets ,Pants ,Polo Shirts","89, Berulia Road, Tati, Dhaka, Savar",Dhaka,Savar,1998
Global Shirts Ltd.,Woven,5.0,1800.0,1300,240000,"Shirts ,Jackets ,Swimwears","49(N/P), Kalurghat Inds. Estate, (3rd Floor), Chittagong","49(N/P), Kalurghat Inds. Estate, (3rd Floor)",Chittagong,2002
Global Specialised Garments Ltd.(U-2),Sweater,5.0,750.0,541,45000,"Cardigans ,Pullovers ,Sweaters ,Vests","91, Sadarghat Road, Chittagong","91, Sadarghat Road,",Chittagong,1999
Global Woven Wear Ltd.,Woven,5.0,250.0,120,30000,"Shirts ,Jackets ,Pants ,Shorts","71/B, Malibagh Chowdhury Para, (5th & 6th Fl), Dhaka","71/B, Malibagh Chowdhury Para, (5th & 6th Fl)",Dhaka,2006
Globus Garment Ltd.,Woven,5.0,2400.0,1122,291667,"Shirts ,Blouses ,Infants wear","C/35, Section # 7, Mirpur Super Market, Dhaka, Mirpur",Dhaka,Mirpur,1992
Glorious Apparels Ltd.,Knit,5.0,208.0,152,250000,"T-Shirts ,Polo Shirts","College Road, Tenguri, Ashulia, Dhaka, Savar",Dhaka,Savar,2010
Glorious Dress Ltd.,Woven,1.0,,220,21667,"T-Shirts ,Polo Shirts ,Sweatshirt ,Jacket","College Road, Tenguri, Zirani Bazar, BKSP,Ashulia, Dhaka, Dhaka",Dhaka,Dhaka,2017
Glorious Sun Fashion Gmts.,Knit,5.0,150.0,120,120000,"T-Shirts ,Polo Shirts","19, Satabdi Tower, Road # 1, Senpara Parbata, Section # 10, Dhaka, Mirpur",Dhaka,Mirpur,2012
Glory Fashion Wear Ltd.,Woven,5.0,920.0,538,15000000,"Jackets ,Pants ,Shorts ,Skirts","Chhaydana, Dagerchala Road, National University, Gazipur, Gazipur Sadar",Gazipur,Gazipur Sadar,1998
Glory Fashions Ltd.,Woven,5.0,850.0,550,96000,"Jackets ,Pants ,Barmuda","House # 60 (1st Floor), Road # 4/A, Old DOHS, Dhaka, Banani",Dhaka,Banani,2001
Glory Industries Ltd.,Woven,5.0,958.0,598,165588,Bottoms,"Plot # 46-48, Chittagong, CEPZ",Chittagong,CEPZ,1985
Glory Textile & Apparels Ltd.,Woven,1.0,,1440,0,,"Kharuail, Ward # 7, Bhaluka Municipal Area, Mymensingh, Dhaka",Mymensingh,Dhaka,2021
GMS Composite Knitting Ind. Ltd.,Knit,5.0,18583.0,8350,875000,"T-Shirts ,Polo Shirt ,Sweet Shirt ,Tops","Shardaganj, Gazipur, Gazipur",Gazipur,Gazipur,2001
Goal Line Knit Wear Ltd.,Knit,5.0,500.0,140,0,"T-Shirts ,Polo Shirts","House # 336, Road # 5, DOHS, Dhaka, Baridhara",Dhaka,Baridhara,2008
Gold Land International Ltd.,Knit,5.0,452.0,333,350000,"T-Shirts ,Polo Shirts ,Tank Tops","Landmark Complex, Shadhur Para, Baro Ashulia, Dhaka, Savar",Dhaka,Savar,2000
Gold Mart Apparels (Pvt) Ltd.,Woven,5.0,300.0,180,60000,"Shirts ,Pants ,Jackets","1643, Manik Market (4th Floor), Chittagong, Asadganj",Chittagong,Asadganj,1999
Gold Star Apparels (Pvt) Ltd.,Woven,5.0,250.0,166,50000,"Shirts ,Pyjama Sets ,Pants","1643, Asadgonj, Manik Market (2nd Floor), Osman Monzil, Chittagong, Asadgonj",Chittagong,Asadgonj,1992
Gold Star Design Ltd.,Woven,5.0,295.0,130,40000,"Jackets ,Denim ,Trousers ,Pants","120, East Tejturi Bazar, Dhaka, Tejgaon",Dhaka,Tejgaon,2005
Gold Star Fashions Ltd.,Woven,5.0,425.0,216,48000,"Shirts ,Jackets ,Pants ,Ladies Dresses","Plot # A-112, 113 (West Side)BSCIC Inds Estate, Gazipur, B. Baria",Gazipur,B. Baria,1992
Golden Attires Fashion Ltd.,Woven,1.0,101.0,68,120000,"Shirt ,Pant ,Jacket ,T-Shirt","B.R.S. No.3723, Boro Ashulia, Savar, Dhaka, Dhaka",Dhaka,Dhaka,2021
Golden Ducks Apparels Ltd.,Woven,5.0,250.0,115,27000,"Jackets ,Jogging Suit ,Sports Wear","33, Darus Salam Road, Section # 1, Dhaka, Mirpur",Dhaka,Mirpur,1991
Golden Heights Ltd.,Woven,5.0,1692.0,1322,240000,Bottoms,"Plot # 49 (NP)/C, Heavy I/A, Chittagong, Kalurghat",Chittagong,Kalurghat,2010
Golden Horizon Ltd.,Knit,5.0,2917.0,2311,324996,"Fleece Jackets ,Swim Wears ,Bottom ,Polo Shirts","53/b, Baizid Bostami Road, Chittagong, Nasirabad",Chittagong,Nasirabad,2005
